_________,____________,____________,________ (__),zone Rating,_______ (USD)
231.9,2,2,28,4,501721
232.7,4,3,21,4,585574
233.8,2,3,8,4,560305
234.1,3,2,26,4,517655
234.8,4,3,24,4,594755
235.4,3,3,21,4,556237
235.6,4,2,27,4,558796
235.7,1,3,29,4,503962
236.3,1,3,18,4,528870
240.6,2,1,10,4,522309
241.7,4,1,23,4,580273
243.1,1,3,17,4,538852
246.8,2,2,12,4,540221
247.5,5,2,15,4,594005
248.4,3,2,20,4,562238
249.6,3,2,12,4,551669
249.7,3,1,26,4,555013
249.8,3,1,13,4,558599
252.7,2,1,28,4,551968
253.5,1,2,9,4,533656
253.8,4,3,28,4,611558
253.9,4,3,20,4,572608
254.1,5,1,21,4,565563
254.8,3,3,23,4,574913
254.9,5,3,11,4,656223
256,4,2,11,4,622100
256.5,1,1,22,4,530476
257.9,2,3,16,4,603813
262.2,5,3,7,4,604937
262.5,5,1,25,4,625114
263.6,4,1,4,4,645782
264.1,2,3,28,4,621863
265,2,1,20,4,596659
265.6,5,2,18,4,619516
266.1,1,1,19,4,564748
268.8,2,3,29,4,601890
269,4,1,9,4,574384
270.5,1,3,23,4,628611
273.7,2,3,29,4,637736
276.5,4,1,24,4,630532
278.6,1,2,11,4,617980
279.4,2,2,7,4,673650
279.6,3,1,26,4,621460
282.6,3,3,6,4,632483
282.7,2,2,13,4,640767
283.2,4,1,25,4,656066
284.3,5,1,7,4,691114
287.6,3,2,15,4,663569
289.3,2,2,25,4,607536
293.5,4,2,13,4,656980
294.3,3,3,8,4,690306
294.9,2,1,29,4,641527
297.2,2,1,8,4,629290
298.2,1,1,21,4,646118
298.5,3,2,20,4,717150
300.2,5,2,12,4,690244
300.8,4,2,18,4,716525
302.4,4,1,25,4,698125
303.7,1,3,12,4,699683
305.1,1,2,27,4,624412
305.6,2,3,8,4,735678
305.8,2,1,9,4,672852
309.3,1,3,15,4,650749
311.3,5,2,27,4,731332
311.6,4,3,25,4,696224
312.1,4,2,10,4,728927
312.6,2,1,12,4,708104
317.5,5,3,22,4,744681
317.9,1,2,27,4,683723
321.7,5,3,14,4,779867
323,3,1,15,4,734110
323.1,1,1,9,4,731490
323.8,2,1,19,4,676233
324.4,1,1,23,4,726228
324.7,1,2,21,4,740174
326.2,2,3,11,4,696027
327.4,5,3,22,4,748220
327.4,4,1,22,4,724842
328.2,5,2,25,4,752792
328.3,3,2,10,4,764387
329.7,1,3,22,4,740330
330.6,3,1,9,4,733613
331.4,5,1,15,4,779336
332.4,5,1,8,4,759883
332.4,1,1,12,4,697575
336.1,4,1,4,4,762770
337,5,3,5,4,769319
337.1,4,2,26,4,736289
339.6,3,3,19,4,762081
340.1,5,1,13,4,756374
341.1,1,3,12,4,719969
341.4,4,1,20,4,748136
341.9,2,3,27,4,772740
342.8,1,1,15,4,710066
343.3,3,2,22,4,739206
344.7,5,3,5,5,830557
345,1,2,7,4,724814
345.6,2,1,12,4,763646
345.8,5,2,28,4,760720
346.1,5,3,17,4,798363
346.5,4,3,23,4,749471
348.2,3,2,27,4,775422
349.3,1,1,15,4,724421
349.9,5,1,5,5,804434
353,4,1,23,4,754662
353.1,4,3,27,4,771923
353.7,4,1,8,4,769764
355.4,5,2,18,5,826606
355.9,2,1,23,4,758947
356,1,1,21,4,740148
356.8,2,3,4,5,818707
359.2,1,2,10,4,777977
361.8,3,2,20,4,793421
362,5,3,15,5,861357
362.4,2,1,4,4,786580
363.6,3,2,6,5,818671
364,2,2,20,4,788472
364.1,1,1,13,4,763297
365.6,2,2,4,5,856066
367,3,3,14,5,813297
367.1,1,2,14,5,814428
367.7,1,1,9,5,806645
371.9,4,2,10,5,828512
372.8,2,3,23,5,816940
373.4,3,2,21,4,785248
377.2,5,1,21,5,819126
377.8,2,2,20,5,818614
378.1,2,1,19,5,826588
378.4,4,1,5,5,870505
382.4,1,2,8,5,802714
382.7,3,2,20,5,827144
384.5,3,1,12,5,888021
384.8,4,2,10,5,841676
385.6,2,3,12,5,824352
386.8,1,3,12,5,864309
386.9,4,1,17,5,878704
391.9,4,2,14,5,875383
392,3,3,24,5,881016
392.1,2,3,21,5,889365
393.6,3,1,24,5,815812
394.5,5,3,26,5,860329
394.8,1,1,9,5,823530
394.9,1,1,18,5,833283
395.7,3,3,4,5,885550
396.1,5,2,26,5,866877
396.2,4,2,10,5,868356
397.2,3,2,8,5,878049
397.4,4,3,8,5,928060
398.6,3,1,18,5,827741
399,1,1,6,5,851284
400.2,3,1,16,5,860130
400.6,4,2,23,5,871567
401.2,3,1,10,5,901000
401.4,1,1,13,5,821146
401.7,5,3,10,5,935452
403,4,1,22,5,844960
403.1,4,2,19,5,899850
407.2,1,1,22,5,889695
407.7,1,1,23,5,848697
407.9,5,3,19,5,909836
408.1,1,1,29,5,834106
409.4,4,1,5,5,933333
413.6,2,3,9,5,894174
418.7,5,3,29,5,950877
421.9,2,3,12,5,909745
421.9,1,3,27,5,907602
422.3,1,1,14,5,884678
423.5,3,3,26,5,917235
424.3,2,1,24,5,947491
424.6,5,1,12,5,934919
426.6,2,1,18,5,901472
427.2,3,3,10,5,985261
427.7,5,1,11,5,927092
432.3,4,1,20,5,938865
435.4,2,2,9,5,935627
436.3,5,2,8,5,1008539
437.6,2,3,29,5,953340
438.4,3,2,9,5,985224
440,3,1,9,5,987241
441.3,3,2,24,5,983106
446.2,4,2,10,5,1010589
447.4,2,2,4,5,985699
448.1,2,2,23,5,996697
449.3,3,3,18,5,951094
450.7,2,3,12,5,985499
451.4,4,3,18,5,1046316
452.1,5,3,18,5,1039730
452.9,2,1,7,5,1026790
457.9,2,3,21,5,987443
459.7,3,2,10,5,1006940
461.5,4,2,26,5,993273
461.7,5,1,21,5,1019193
462,5,1,9,5,985629
463.1,3,1,21,5,1015556
463.8,4,3,26,5,998439
464.3,1,3,7,5,1021135
464.6,4,1,14,5,1046163
464.6,1,2,10,5,965318
467.1,4,3,9,5,1028282
467.5,2,1,11,5,1033450
468.5,5,2,9,5,1015604
469.9,2,2,16,5,1008241
470.6,2,2,28,5,1000022
471.8,1,1,10,5,981511
474.3,4,2,10,5,1037912
476.1,4,3,26,5,1041122
478.2,3,3,20,5,1067425
478.9,3,3,28,5,1033817
479.8,5,1,29,5,1045202
483,1,2,16,5,1027286
486.4,2,2,29,5,988325
488,3,1,18,5,1075814
490.8,2,3,4,5,1058291
492.2,4,1,8,5,1108237
493.3,3,1,11,5,1096158
496.9,2,3,17,5,1064775
497.4,5,2,26,5,1107045
499.5,3,2,19,5,1092027
499.6,1,3,12,5,1102534
499.6,5,1,23,5,1070454
_________,____________,____________,________ (__),zone Rating,price
